,Mean degree,Clustering coefficient,Average shortest path length,Node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CH4 abundance,Has life?
0,12.721623595798466,-3.967013843036488,11.555329621277963,3.3277658291693646,5.2434381856860215,21.971838906431483,-2.218244625347531,0
1,12.646891199737043,-3.8867837678276103,10.44356239708378,1.6194963358973211,3.7655552890496,22.045937649404202,-1.2132485778544386,0
2,14.27934314668214,-4.795516207603816,13.344488010624817,6.809864754355035,7.770728552707803,23.03997806982202,-2.2992962828549803,0
3,12.646352234674678,-3.718673911229289,11.240710748358074,3.033102815870122,4.538261936935152,21.956722667407185,-1.7055337738384069,0
4,14.0652986247041,-4.951088345036499,13.130029620481892,4.13138076795276,5.99379632501192,22.680319311288375,-2.2211255279972604,0
5,12.637433159235513,-3.7258393669010537,11.24735190686411,3.2464820690797036,4.592110635780403,21.95914917115414,-2.2153827073671244,0
6,12.704977634119592,-3.957486418472009,11.530190788984214,3.3261995429661924,5.243399902632313,21.974701499158826,-1.1463017882238253,0
7,12.721623595798466,-3.967013843036488,11.555329621277963,3.3277658291693646,5.2434381856860215,21.971838906431483,-2.218244625347531,0
8,14.0652986247041,-4.951088345036499,13.130029620481892,4.13138076795276,5.99379632501192,22.680319311288375,-2.2211255279972604,0
9,12.673197256784116,-3.8886575818988582,11.438014647171991,3.3112177956765607,4.578366739133716,21.965737381765948,-2.2225731776106885,0
10,12.728951505736855,-3.9883127446488422,11.58015668597932,3.323017359232098,5.278303852329635,21.978237131548315,-2.2076083105017457,0
11,12.930957630936721,-4.201020616998322,11.91009980078085,3.368624635994284,4.704076513783953,22.020801066124278,-2.2153827073671244,0
12,12.644313158489473,-3.7687324929799377,11.29691584612252,3.2992790593103765,4.61018995133608,21.958641044919684,-2.211831628858832,0
13,12.649329494705528,-3.7990818442997814,11.331452814991684,3.3504499591572094,4.6278337097947855,21.959547058158275,-1.7986028756795482,0
14,12.646352234674678,-3.718673911229289,11.240710748358074,3.033102815870122,4.538261936935152,21.956722667407185,-1.7055337738384069,0
15,14.27934314668214,-4.795516207603816,13.344488010624817,6.809864754355035,7.770728552707803,23.03997806982202,-4.730487055782083,0
16,14.19493120637348,-4.543659633870868,13.258313792431464,7.326118440107122,8.413266634995933,23.295202047380837,-2.2211255279972604,0
