,Mean degree,Clustering coefficient,Average shortest path length,Node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CH4 abundance,Has life?,Max betweenness node,Max node betweenness value,Max betweenness edge,Max edge betweenness value,Node degree assortativity,Species variance
1900,14.06854010815762,-4.93361414885953,13.19308227687715,4.087661842012675,5.876268435585984,23.77626577177156,-1.790484985457369,1,CH21,5.661296917950973,"('CH21', 'HS')",8.182503589143977,0.03341096416713653,1.4689483933290072e-05
1901,14.170813496241305,-4.50192486216712,13.293424059737092,6.944212653774553,7.996462335294086,24.65354478513678,-2.2426039712069756,1,H,8.681577212002987,"('H', 'CS')",9.968041276773187,0.03652545538123386,1.8299878874044356e-06
1902,14.20403709987939,-4.940448557242697,13.329064782152008,4.116735108283374,5.915436696346457,23.940500855516323,-2.1674910872937634,1,CH21,5.661384513512948,"('CH21', 'HS')",8.182989394969061,0.03334797490184853,2.5861430626534375e-06
1903,14.046565216853338,-4.929610505847301,13.170874186317402,4.085047152881898,5.87003182573514,23.75314611428716,-2.6497519816658373,1,CH21,5.656654834656666,"('CH21', 'HS')",8.175798414853329,0.033420198424144044,2.8944352406986444e-07
1904,14.23778361918608,-4.660520856679364,13.361727932266316,6.415086370318594,7.50117073617765,24.202336419717174,-1.570247719997592,1,H,8.173112010015878,"('H', 'CS')",9.413704321967492,0.03474523606307223,4.0551558315230276e-05
1905,14.264345885558397,-4.757104299965206,13.388919915700278,6.2059525034902645,7.37525102870461,24.194333482333942,-1.7235381958267555,1,H,7.926685209769691,"('O', 'S2')",9.177550817637288,0.03407741771304517,2.000200261764845e-05
1906,14.264345885558397,-4.757104299965206,13.388919915700278,6.2059525034902645,7.37525102870461,24.194333482333942,-1.7235381958267555,1,H,7.926685209769691,"('O', 'S2')",9.177550817637288,0.03407741771304517,2.000200261764845e-05
1907,14.267432158539926,-4.81737656557686,13.390149930498286,3.9648804716412327,5.6702212775443295,24.15465988759409,-1.7121982700697738,1,CS,5.509035138575239,"('H2O', 'H')",7.9008911733839655,0.03360189534188782,2.1074770524960627e-05
1908,14.235368066869393,-4.9317041769251215,13.360417546108746,4.124628530072545,5.994543964326291,23.982938007812947,-1.790484985457369,1,CH21,5.662350176096745,"('CH21', 'HS')",8.182990196446141,0.03335821554216457,1.4689483933290072e-05
1909,14.204882889870023,-4.9402792908671875,13.329912072204582,4.1170561619081685,5.91544553046983,23.941781141797136,-2.049148541111453,1,CH21,5.661376206843471,"('CH21', 'HS')",8.18299441556134,0.03334804252965702,4.461245169134213e-06
1910,14.208200444468407,-4.582295164036661,13.331596088857902,6.702534755550853,7.790321617361946,24.441564710914502,-5.826813731587726,1,H,8.45910925519568,"('H', 'CS')",9.689900227740665,0.03549724801897121,1.3966524277664952e-06
1911,14.255560833239437,-4.9167250911688685,13.380464009647696,4.314529346740938,6.05676205358813,24.016893217696925,-1.6989700043360185,1,CH21,5.976239147982776,"('CH21', 'HS')",8.527534560974471,0.03338316779621514,2.2399255585261228e-05
1912,14.204851446011592,-4.574223281643951,13.32820976099704,6.70229272422194,7.791062967685597,24.407859936207444,-1.570247719997592,1,H,8.458751974925296,"('H', 'CS')",9.690996758462221,0.03559039556747512,4.0551558315230276e-05
1913,14.12067910925467,-4.940330760036348,13.245464686625075,4.035196333951008,5.850971774595314,23.836518983534273,-1.6989700043360185,1,CH21,5.661064354940336,"('CH21', 'HS')",8.182574363040827,0.03337743933438365,2.2399255585261228e-05
1914,14.165837776133957,-4.491971456429088,13.288174793650409,7.043317120924432,8.158087804462207,24.651517362224507,-2.201349354554731,1,H,8.731349485216674,"('H', 'CS')",10.142467920415747,0.03666076026227315,2.2126729773712987e-06
1915,14.053014823031628,-4.9308472178031515,13.177336058382483,4.0878812693614455,5.87497197074563,23.75973504688848,-2.1745738822321767,1,CH21,5.661285948107816,"('CH21', 'HS')",8.182491582022678,0.033413073733035106,2.503100817700965e-06
1916,14.053014823031628,-4.9308472178031515,13.177336058382483,4.0878812693614455,5.87497197074563,23.75973504688848,-1.7121982700697738,1,CH21,5.661285948107816,"('CH21', 'HS')",8.182491582022678,0.033413073733035106,2.1074770524960627e-05
1917,14.208200444468407,-4.582295164036661,13.331596088857902,6.702534755550853,7.790321617361946,24.441564710914502,-5.826813731587726,1,H,8.45910925519568,"('H', 'CS')",9.689900227740665,0.03549724801897121,1.3966524277664952e-06
1918,14.054213936644254,-4.931064007588824,13.178537041951502,4.0878407723883345,5.874867309785191,23.760973786868217,-2.197226274708024,1,CH21,5.661284512766571,"('CH21', 'HS')",8.182489588949272,0.03341184700699957,2.255117880382577e-06
1919,14.174680802898322,-4.942509682022011,13.299529434306878,4.108907511251454,5.916939007417708,23.903547374594375,-2.323306390375133,1,CH21,5.661071289866075,"('CH21', 'HS')",8.182846231641054,0.0333451778174724,1.2626584528111093e-06
1920,14.25299741984328,-4.709422047564692,13.377437892576644,6.699137016969923,7.900125009265135,24.228077774629508,-5.166215625343521,1,O,8.204526310805113,"('O', 'S2')",9.73646509719242,0.03439032241401091,7.843636377391105e-07
1921,14.260752323267898,-4.738555313102725,13.385457407815245,6.144634268480651,7.414728479004276,24.20505515675278,-6.132532512140948,1,H,7.728061914610662,"('O', 'S2')",9.21886884947701,0.034207163007878946,1.7273207482498923e-06
1922,13.950506300908954,-4.907060324600959,13.074204795373573,4.0952845565041525,5.969889106619715,23.65248958643459,-2.220403508742175,1,CH21,5.637303634697974,"('OH', 'CH21')",8.381760490798644,0.0335147186439489,2.026846196057908e-06
1923,14.24124928988512,-4.929071476803504,13.366425498327503,4.037591510515545,5.788003400000898,23.999954097168242,-2.1844222516757323,1,CH21,5.662344728109352,"('CH21', 'HS')",8.182901364961097,0.03337255078200238,2.3920864357875322e-06
1924,14.274741297764896,-4.865235437115815,13.399866256244474,4.325068834879453,6.075098688113836,24.09094243581491,-4.1284270644541206,1,CH21,5.987528725090298,"('CH21', 'HS')",8.532696279123547,0.03357448702471376,3.193730839006633e-07
1925,14.208200444468407,-4.582295164036661,13.331596088857902,6.702534755550853,7.790321617361946,24.441564710914502,-5.826813731587726,1,H,8.45910925519568,"('H', 'CS')",9.689900227740665,0.03549724801897121,1.3966524277664952e-06
