Index,Mean degree,Clustering coefficient,Average shortest path length,Node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CH4 abundance,Has life?,Max betweenness node,Max node betweenness value,Max betweenness edge,Max edge betweenness value,Node degree assortativity
0,13.6977035258952,-4.68191092466168,12.8225420330787,7.05915917244557,8.37297699617344,23.9879891996383,-5.99567862621736,0,H,8.53758698817454,"('H', 'HV')",10.3267028367138,0.0332435866270086
1,13.7073506952585,-4.71130166208707,12.8323267456307,7.29623520665353,8.61237722209276,24.239874903169,-5.87289520163519,0,O,8.81038114054647,"('H', 'HV')",10.4311147687779,0.033042232523498
2,13.6947986054321,-4.67808839409318,12.8196382993975,7.29609349432073,8.61093916980767,24.0119232173452,-6.01547268665621,0,O,8.81038112649152,"('H', 'HV')",10.4295982348237,0.0332733117035621
3,13.6955854158825,-4.67901452696184,12.8203895106787,7.29607793417661,8.6110950849514,24.0400985514947,-6.01010543628123,0,O,8.81038112969299,"('H', 'HV')",10.4297548579075,0.0332631617251595
4,13.6977035258952,-4.68191092466168,12.8225420330787,7.05915917244557,8.37297699617344,23.9879891996383,-5.99567862621736,0,H,8.53758698817454,"('H', 'HV')",10.3267028367138,0.0332435866270086
5,13.6977035258952,-4.68191092466168,12.8225420330787,7.05915917244557,8.37297699617344,23.9879891996383,-5.99567862621736,0,H,8.53758698817454,"('H', 'HV')",10.3267028367138,0.0332435866270086
6,13.7009976333679,-4.68651203166598,12.8258899256803,7.30127924097138,8.61332085162339,24.022595030613,-5.97061622231479,0,O,8.8155887930848,"('H', 'HV')",10.4358352154442,0.0332129872416987
7,13.6991249978646,-4.68383508358159,12.8239401260503,6.92818563568091,8.24481002401567,24.0181042404893,-5.98296666070122,0,O,8.44237808892121,"('H', 'HV')",10.0634387770031,0.0332270977671862
8,14.0413857050509,-4.92088327034745,13.1669008853219,4.21592887652558,5.89390601304589,24.031162154026,-3.35753547975788,0,CH21,5.74020080912451,"('CH21', 'HS')",8.22271049196631,0.0320978145009369
9,13.6965972779523,-4.68055505553519,12.8214203089907,7.29611286403531,8.61141674407079,24.2661175555426,-6.00217691925427,0,O,8.81031962753437,"('H', 'HV')",10.4296748538247,0.0332528789915099
10,13.6938281060324,-4.67660317888598,12.8186032576549,7.22915454659489,8.53892471984035,24.1795602532518,-6.02273378757271,0,O,8.70576587307445,"('H', 'HV')",10.3597919757529,0.0332796076118906
11,13.6938281060324,-4.67660317888598,12.8186032576549,7.22915454659489,8.53892471984035,24.1795602532518,-6.02273378757271,0,O,8.70576587307445,"('H', 'HV')",10.3597919757529,0.0332796076118906
12,13.699348268217,-4.68453622929327,12.8242192052411,6.95341537686884,8.29653046164955,23.9805734005777,-5.98296666070122,0,O,8.61343977670604,"('O2', 'SO2')",10.2401070540735,0.0332262904296183
13,13.699348268217,-4.68453622929327,12.8242192052411,6.95341537686884,8.29653046164955,23.9805734005777,-5.98296666070122,0,O,8.61343977670604,"('O2', 'SO2')",10.2401070540735,0.0332262904296183
14,13.699348268217,-4.68453622929327,12.8242192052411,6.95341537686884,8.29653046164955,23.9805734005777,-5.98296666070122,0,O,8.61343977670604,"('O2', 'SO2')",10.2401070540735,0.0332262904296183
15,13.699348268217,-4.68453622929327,12.8242192052411,6.95341537686884,8.29653046164955,23.9805734005777,-5.98296666070122,0,O,8.61343977670604,"('O2', 'SO2')",10.2401070540735,0.0332262904296183
16,13.7056749766401,-4.6980638539297,12.8305890231652,7.29600337201365,8.61027885026482,23.9177187880867,-5.92081875395237,0,O,8.81038112638777,"('H', 'HV')",10.4289554690089,0.0331297821154056
17,13.6995811750401,-4.68455733921356,12.824405158674,7.296185678753,8.61127104729011,24.2560155638398,-5.98296666070122,0,O,8.81038114617424,"('H', 'HV')",10.4296022765974,0.0332223849777803
18,14.0413857050509,-4.92088327034745,13.1669008853219,4.21592887652558,5.89390601304589,24.031162154026,-3.35753547975788,0,CH21,5.74020080912451,"('CH21', 'HS')",8.22271049196631,0.0320978145009369
19,13.699348268217,-4.68453622929327,12.8242192052411,6.95341537686884,8.29653046164955,23.9805734005777,-5.98296666070122,0,O,8.61343977670604,"('O2', 'SO2')",10.2401070540735,0.0332262904296183
20,13.7080022500689,-4.70783168998332,12.8329652138456,3.99579798047628,6.38926451132379,23.980870196087,-5.88272870434424,0,H,5.6022070857725,"('O', 'S2')",8.31846097565608,0.0330649157045308
21,13.6976109788461,-4.68182965045941,12.8224486665972,6.67639626378163,8.10895047302269,24.1723236013113,-5.99567862621736,0,H,8.27587868467912,"('H', 'HV')",9.92562803632935,0.033244212987353
22,13.7007690462652,-4.68616856110725,12.8256119181712,6.86612470782253,8.17511538420554,23.8943587355035,-5.97469413473523,0,O,8.34298817803672,"('H', 'HV')",9.99853192123322,0.0332115792202466
23,13.6980246992492,-4.68232488932232,12.8228220119809,7.29621243417438,8.61159568141484,24.2421218774867,-5.99139982823808,0,O,8.81038114860943,"('H', 'HV')",10.4297192206208,0.0332371763983634
24,13.6982519506573,-4.68282376293892,12.8231018104573,6.70475712435554,8.05095075954804,23.9877066499495,-5.99139982823808,0,O,8.36492948983514,"('O2', 'SO2')",9.99185132967668,0.0332375981873761
25,13.6982519506573,-4.68282376293892,12.8231018104573,6.70475712435554,8.05095075954804,23.9877066499495,-5.99139982823808,0,O,8.36492948983514,"('O2', 'SO2')",9.99185132967668,0.0332375981873761
26,13.6977028409737,-4.6819546023259,12.8225420330752,4.13634571475369,6.10045196444842,24.0644698647541,-5.99567862621736,0,O,5.82374993560733,"('O', 'S2')",8.17669208370962,0.0332433245719005
